id;nom_tj;violence;destruction degradation;homicides;vols;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv
4;Tribunal de Grande Instance de Saint-Malo;5700;5478;4932;35394;1599;4917;3252;15183;239260;126345;277369;267170;20179,44056;46614;112694;54388;9168,611111;0,276333333
157;Tribunal de Grande Instance de Saint-Nazaire;1283;1394;1253;13040;381;1116;1954;2603;255161;167724;379097;357468;21003,38235;52528;154811;70583;9338,571429;0,263
95;Tribunal de Grande Instance de Saint-Omer;2622;2082;1944;6996;474;690;1734;1782;109481;66553;165216;163809;19239,91071;30768;63597;26772;8229,333333;0,350666667
152;Tribunal de Grande Instance de Saint-Quentin;6664;5635;5085;29190;1593;3953;2352;6840;139414;61112;140564;148158;19712,5;;;;;
48;Tribunal de Grande Instance de Sarreguemines;3574;3431;2617;12921;570;2486;3982;5130;149579;109770;251941;266800;21341,50327;57109;106620;38547;7900;0,376516129
119;Tribunal de grande instance de Saumur;130;224;142;1052;25;192;139;234;245268;68340;160671;149574;19090,95238;36223;61645;24844;8873,125;0,299625
125;Tribunal de Grande Instance de Saverne;11223;5499;8460;41286;2139;8175;6039;16824;185849;89887;214257;216229;22844,55446;35161;88917;41873;8538,421053;0,326052632
142;Tribunal de Grande Instance de Senlis;6690;9010;5568;52056;1443;6239;5169;10353;138840;109059;276366;279564;25803,71212;50526;93788;56368;8509,6;0,32836
141;Tribunal de Grande Instance de Sens;7060;5497;6598;33118;1547;4753;3223;9341;266786;71045;162086;163277;21200,47945;35021;65968;24185;8055,384615;0,364230769
49;Tribunal de Grande Instance de Soissons;11006;8116;7843;58115;2297;7906;3812;12772;241436;71593;169827;175672;21020,04367;;;;;
132;Tribunal de grande instance de St Gaudens;3293;3692;2906;23400;597;3449;1117;6758;250072;40947;87374;96616;19746,01156;18239;40970;17288;7106;0,4394
17;Tribunal de Grande Instance de Strasbourg;29332;29061;20154;125825;4989;11916;17331;35358;229806;337025;775201;804335;25052,96748;118866;277403;193000;8315,09434;0,343716981
153;Tribunal de grande instance de Tarascon;262;414;220;2039;38;159;189;301;228362;90426;210696;202919;21544,16667;40384;76283;40280;8557,037037;0,324666667
35;Tribunal de grande instance de Tarbes;10593;13680;9569;85108;2656;10329;15433;21065;451653;100405;212017;228769;20372,29773;36756;98122;44048;8251,764706;0,348764706
149;Tribunal de Grande Instance de Thionville;11373;13886;9007;48644;1716;5562;7617;10904;94249;108520;249469;263986;24797,98077;46510;102037;52907;7864,666667;0,3792
40;Tribunal de Grande Instance de Thonon-les-Bains;6774;5504;5808;58148;1280;6632;8106;9562;156684;137521;318375;315648;31813,59712;43529;121948;79626;7416,666667;0,414733333
68;Tribunal de Grande Instance de Toulon;9903;7739;9323;57958;1365;7382;10321;13473;117235;241895;518825;506699;22934,0625;83807;204096;115994;8416,774194;0,335645161
21;Tribunal de Grande Instance de Toulouse;31291;30808;26764;321576;6673;26590;20258;60299;386273;534793;1202209;1201591;24575,03289;132277;365992;384056;8593,789474;0,321694737
120;Tribunal de Grande Instance de Tours;15683;23631;13752;141602;4754;12051;9644;38712;615636;267901;593721;598314;20560,44118;95755;217784;129443;8768,297872;0,30812766
86;Tribunal de Grande Instance de Troyes;19416;13289;14231;81164;3004;10808;7932;22649;602542;129878;288511;306581;21434,90196;66820;113828;48554;7780,869565;0,385913043
22;Tribunal de grande instance de Tulle;896;815;1039;5687;355;1021;1436;1814;436769;47977;98767;110379;19656,66667;21003;48431;18926;8487,5;0,33
133;Tribunal de Grande Instance de Valence;11975;11284;8665;101856;2354;9986;7951;17948;654206;217633;498917;493995;20069,89247;86509;188441;106027;8673,333333;0,315533333
118;Tribunal de Grande Instance de Valenciennes;105388;89692;86442;381290;14790;28900;44932;77674;63525;139784;337879;349486;19586,46341;67677;127571;54010;7512,195122;0,407097561
61;Tribunal de Grande Instance de Vannes;3687;3434;3207;31326;1026;3143;2185;6832;359619;149516;336166;327788;20213,76812;50252;135696;68483;9108,333333;0,281208333
20;Tribunal de Grande Instance de Verdun;6278;2743;4224;25871;1561;4667;3444;6055;283714;32863;73611;86280;19616,78788;16579;35514;12266;7755;0,387833333
129;Tribunal de Grande Instance de Versailles;37928;37014;26757;211992;5879;23540;46812;57111;230569;565736;1439467;1410988;30309,10506;166388;386288;448514;8360,769231;0,340098901
64;Tribunal de Grande Instance de Vesoul;13850;8923;10357;63323;3650;12093;5898;17339;538755;99645;224944;238117;20152,01357;48639;94467;37084;8247,5;0,3491875
106;Tribunal de Grande Instance de Vienne;1604;1520;960;10270;246;1184;796;1964;137399;109056;276058;267933;22703,90476;46353;100869;52009;8625,517241;0,319241379
27;Tribunal de Grande Instance de Villefranche-sur-Saône;6842;3707;4938;35806;1434;3770;5311;9872;150485;80742;193354;190735;22568,36364;35815;74458;39666;8641,578947;0,318
115;Tribunal de Grande Instance d'Epinal;9072;7801;7251;60825;1806;7826;9450;13787;589517;161262;351787;374669;19860,95588;79517;145903;57280;8054,5;0,3643
87;Tribunal de Grande Instance des Sables-d'Olonne;606;582;553;5445;149;710;697;1085;212817;106494;229200;210919;20316,625;48391;111783;39537;9488,571429;0,251119048
65;Tribunal de Grande Instance d'Evreux;27326;20360;25902;171991;7490;25935;15339;39037;602841;242144;581595;580268;22126,16608;114240;227477;98528;8348,043478;0,341217391
67;Tribunal de Grande Instance d'Evry;19761;12088;15762;123681;2973;11792;16620;22298;181871;494041;1262149;1240234;27314,6875;175119;396215;324270;8305,789474;0,344515789
105;Tribunal de Grande Instance d'Orléans;32513;18707;22750;150540;6175;22412;18317;44928;364104;202896;478889;472859;22717,04918;74273;166889;105826;8683,170732;0,314707317
79;Tribunal de Grande Instance du Havre;13927;22845;9506;72393;2202;7489;9020;13809;126774;164510;377842;387836;22752,5;72662;145426;63951;8514,117647;0,328117647
30;Tribunal de Grande Instance du Mans;11973;8718;9006;60633;3207;7050;4659;17634;621777;240117;546584;561223;20251,73529;108704;216496;92017;8821,4;0,30382
121;Tribunal de Grande Instance du Puy-en-Velay;3668;2674;2386;18656;888;8914;5274;4908;500233;98949;220529;226167;18553,91705;39120;94705;39929;8781,538462;0,306923077
